"","x","y","area","peri","land_perc"
"207",185000,6836621.57142857,13267.5685714286,474.834857142858,NA
"208",275000,6836621.57142857,13267.5685714286,474.834857142858,NA
"209",365000,6836621.57142857,13267.5685714286,474.834857142858,NA
"210",455000,6836621.57142857,13267.5685714286,474.834857142858,NA
"211",545000,6836621.57142857,13267.5685714286,474.834857142858,NA
"212",635000,6836621.57142857,13267.5685714286,474.834857142858,NA
"213",725000,6836621.57142857,13267.5685714286,474.834857142858,0.0231265451513587
"214",815000,6836621.57142857,13267.5685714286,474.834857142858,0.134268442798276
"215",905000,6836621.57142857,13267.5685714286,474.834857142858,0.356380301569696
"216",995000,6836621.57142857,13267.5685714286,474.834857142858,0.900649185492639
"217",1085000,6836621.57142857,13267.5685714286,474.834857142858,0.968757613523268
"218",1175000,6836621.57142857,13267.5685714286,474.834857142858,0.456730053132968
"219",1265000,6836621.57142857,13267.5685714286,474.834857142858,0.0626812540708038
"220",1355000,6836621.57142857,13267.5685714286,474.834857142858,NA
"221",1445000,6836621.57142857,13267.5685714286,474.834857142858,NA
"222",1535000,6836621.57142857,13267.5685714286,474.834857142858,NA
"223",1625000,6836621.57142857,13267.5685714286,474.834857142858,0.0761774478891448
"224",1715000,6836621.57142857,13267.5685714286,474.834857142858,0.0981674490011196
"225",1805000,6836621.57142857,13267.5685714286,474.834857142858,0.87030738314586
"226",-2155000,6689204.14285714,13267.5685714287,474.834857142858,NA
"227",-2065000,6689204.14285714,13267.5685714286,474.834857142858,NA
"228",-1975000,6689204.14285714,13267.5685714287,474.834857142858,NA
"229",-1885000,6689204.14285714,13267.5685714286,474.834857142858,NA
"230",-1795000,6689204.14285714,13267.5685714286,474.834857142858,NA
"231",-1705000,6689204.14285714,13267.5685714286,474.834857142858,NA
"232",-1615000,6689204.14285714,13267.5685714286,474.834857142858,NA
"233",-1525000,6689204.14285714,13267.5685714286,474.834857142858,NA
"234",-1435000,6689204.14285714,13267.5685714286,474.834857142858,NA
"235",-1345000,6689204.14285714,13267.5685714286,474.834857142858,NA
"236",-1255000,6689204.14285714,13267.5685714286,474.834857142858,NA
"237",-1165000,6689204.14285714,13267.5685714286,474.834857142858,NA
"238",-1075000,6689204.14285714,13267.5685714286,474.834857142858,NA
"239",-985000,6689204.14285714,13267.5685714286,474.834857142858,NA
"240",-895000,6689204.14285714,13267.5685714286,474.834857142858,NA
"241",-805000,6689204.14285714,13267.5685714286,474.834857142858,NA
"242",-715000,6689204.14285714,13267.5685714286,474.834857142858,NA
"243",-625000,6689204.14285714,13267.5685714286,474.834857142858,NA
"244",-535000,6689204.14285714,13267.5685714286,474.834857142858,NA
"245",-445000,6689204.14285714,13267.5685714286,474.834857142858,NA
"246",-355000,6689204.14285714,13267.5685714286,474.834857142858,NA
"247",-265000,6689204.14285714,13267.5685714286,474.834857142858,NA
"248",-175000,6689204.14285714,13267.5685714286,474.834857142858,NA
"249",-85000,6689204.14285714,13267.5685714286,474.834857142858,NA
"250",5000,6689204.14285714,13267.5685714286,474.834857142858,NA
"251",95000,6689204.14285714,13267.5685714286,474.834857142858,NA
"252",185000,6689204.14285714,13267.5685714286,474.834857142858,NA
"253",275000,6689204.14285714,13267.5685714286,474.834857142858,NA
"254",365000,6689204.14285714,13267.5685714286,474.834857142858,NA
"255",455000,6689204.14285714,13267.5685714286,474.834857142858,NA
"256",545000,6689204.14285714,13267.5685714286,474.834857142858,NA
"257",635000,6689204.14285714,13267.5685714286,474.834857142858,0.115774984032898
"258",725000,6689204.14285714,13267.5685714286,474.834857142858,0.0170415225512352
"259",815000,6689204.14285714,13267.5685714286,474.834857142858,0.530950895413822
"260",905000,6689204.14285714,13267.5685714286,474.834857142858,0.352631693258012
"261",995000,6689204.14285714,13267.5685714286,474.834857142858,0.0140846364083916
"262",1085000,6689204.14285714,13267.5685714286,474.834857142858,0.5348265811565
"263",1175000,6689204.14285714,13267.5685714286,474.834857142858,1
"264",1265000,6689204.14285714,13267.5685714286,474.834857142858,0.843587087660343
"265",1355000,6689204.14285714,13267.5685714286,474.834857142858,0.283588189926706
"266",1445000,6689204.14285714,13267.5685714286,474.834857142858,0.0933885523974959
"267",1535000,6689204.14285714,13267.5685714286,474.834857142858,NA
