"","x","y","land_perc","temp","phyto","velo"
"175",1355000,6984039,NA,10.7286462131305,1.82960826326173,0.0362062703237135
"176",1445000,6984039,NA,10.7211535683744,1.77081336144208,0.0326909460294505
"177",1535000,6984039,NA,10.9443155203333,1.46227925313456,0.0284849170622258
"178",1625000,6984039,NA,11.2793559246992,1.87096348846867,0.0334690128784323
"179",1715000,6984039,0.00923442218093899,11.0713275514709,2.99567516090184,0.0286817824955952
"180",1805000,6984039,0.436074664868263,11.1215207606856,5.42585896587012,0.0201419253873376
"181",-2155000,6836621.57142857,NA,3.38528511039305,3.26098190623088,0.0659068570756588
"182",-2065000,6836621.57142857,NA,3.55681311030981,3.65277591898956,0.156522110312731
"183",-1975000,6836621.57142857,NA,5.48459147883573,3.08420175636842,0.18247066129572
"184",-1885000,6836621.57142857,NA,7.20431849787617,2.23627930398727,0.0295413456655827
"185",-1795000,6836621.57142857,NA,7.53820361709937,2.01130075927193,0.0406137759078113
"186",-1705000,6836621.57142857,NA,7.4781076485669,1.90492368316502,0.0496015693266979
"187",-1615000,6836621.57142857,NA,7.33841368591462,1.8376561877208,0.0387848632180733
"188",-1525000,6836621.57142857,NA,7.12735239323175,1.79736625281514,0.0432109701813455
"189",-1435000,6836621.57142857,NA,6.90970328836797,1.78452421945945,0.0259499899742381
"190",-1345000,6836621.57142857,NA,6.92631137043686,1.76280589379035,0.0245627890206981
"191",-1255000,6836621.57142857,NA,7.10545113597257,1.77297224983266,0.0246519435674527
"192",-1165000,6836621.57142857,NA,7.48357639837878,1.80669942480179,0.0241826385784274
"193",-1075000,6836621.57142857,NA,7.8320616190483,1.82732003244894,0.0282917458341571
"194",-985000,6836621.57142857,NA,8.14709864441627,1.8273060119899,0.0389893191997408
"195",-895000,6836621.57142857,NA,8.45483307500957,1.79723399938654,0.0203048938166892
"196",-805000,6836621.57142857,NA,8.74442780691897,1.75917109679857,0.0252300653310148
"197",-715000,6836621.57142857,NA,8.9916780815314,1.70215324895534,0.0345531089816894
"198",-625000,6836621.57142857,NA,9.31735742624806,1.67371733718571,0.0554318483469868
"199",-535000,6836621.57142857,NA,9.65656348820506,1.72419944707905,0.0431428682193476
"200",-445000,6836621.57142857,NA,10.0168423179336,1.74734521281521,0.0260309382850999
"201",-355000,6836621.57142857,NA,10.4750319487614,1.736765133613,0.0852272252458138
"202",-265000,6836621.57142857,NA,10.8342495007986,1.72492123106929,0.0910633463748914
"203",-175000,6836621.57142857,NA,11.1073855730147,1.73515304625233,0.0541499029833466
"204",-85000,6836621.57142857,NA,11.3378694599551,1.75346930228672,0.0542998223369323
"205",5000,6836621.57142857,NA,11.5509206002208,1.72277684789191,0.0614907278726072
"206",95000,6836621.57142857,NA,11.6284941954245,1.74642840234646,0.0492519074036436
"207",185000,6836621.57142857,NA,11.5470644670128,1.82274274921974,0.0523425962078171
"208",275000,6836621.57142857,NA,11.415799738173,1.96217103637216,0.0483867355048464
"209",365000,6836621.57142857,NA,11.7614571213239,1.95077889987105,0.0665756131949523
"210",455000,6836621.57142857,NA,11.9976254187159,1.88510668075731,0.0589801901911376
"211",545000,6836621.57142857,NA,11.9661844806546,1.92188123300264,0.0460845674063018
"212",635000,6836621.57142857,NA,11.9485279031155,2.16111212471882,0.0563849473777165
"213",725000,6836621.57142857,0.0231265451513587,11.6459520352451,2.95471271760292,0.0591891408559616
"214",815000,6836621.57142857,0.134268442798276,10.9901171056049,3.46867112619659,0.0551194331269341
"215",905000,6836621.57142857,0.356380301569696,10.691996360486,4.022763560002,0.0257173701287503
"216",995000,6836621.57142857,0.900649185492639,10.8839360594588,4.93312633550579,0.0205987750660513
"217",1085000,6836621.57142857,0.968757613523268,10.4871149064642,4.24666409748712,0.0137074456826807
"218",1175000,6836621.57142857,0.456730053132968,10.3647250285404,3.2034117770484,0.0325085227241598
"219",1265000,6836621.57142857,0.0626812540708038,10.696877166298,2.69755368123368,0.030840644059554
"220",1355000,6836621.57142857,NA,10.7141235858583,1.9789488977135,0.0250518078288503
"221",1445000,6836621.57142857,NA,11.0724943179925,1.62360515476252,0.0219946047390665
"222",1535000,6836621.57142857,NA,11.4782053836775,1.66230385724703,0.0288281503729651
"223",1625000,6836621.57142857,0.0761774478891448,11.6328918151005,3.4115221969148,0.0446896778288993
"224",1715000,6836621.57142857,0.0981674490011196,11.3629056925886,3.95137852175402,0.0370448737379683
"225",1805000,6836621.57142857,0.87030738314586,11.3734521778763,5.44663121170968,0.0163962279460259
"226",-2155000,6689204.14285714,NA,4.12971391896953,3.06147406752779,0.0632842967791169
"227",-2065000,6689204.14285714,NA,4.04605467444581,3.37400905680217,0.101477413948638
"228",-1975000,6689204.14285714,NA,5.45450995785938,3.21326888526837,0.219330778819791
"229",-1885000,6689204.14285714,NA,7.45120062503278,2.33759498847935,0.0421270988183297
"230",-1795000,6689204.14285714,NA,8.39579919422418,2.07398813929282,0.0424652626493006
"231",-1705000,6689204.14285714,NA,8.81951238901404,2.03429445906233,0.0486281554512801
"232",-1615000,6689204.14285714,NA,8.87574138101432,1.99036040776322,0.0611910485238412
"233",-1525000,6689204.14285714,NA,8.66220672228572,1.93603063001298,0.0919087218291155
"234",-1435000,6689204.14285714,NA,8.23789352340736,1.87827786494427,0.0595382065792175
"235",-1345000,6689204.14285714,NA,7.84838544428439,1.83858263648742,0.0428224173800424
"236",-1255000,6689204.14285714,NA,7.75366939350265,1.79980449774597,0.036928122104295
"237",-1165000,6689204.14285714,NA,7.90648824305787,1.77057218781848,0.0332450322986463
"238",-1075000,6689204.14285714,NA,8.18336770558104,1.73658101343822,0.0257402652122379
"239",-985000,6689204.14285714,NA,8.40082863355573,1.71108622435335,0.0210909424295582
"240",-895000,6689204.14285714,NA,8.62702056202419,1.66492806800835,0.0307206798169658
"241",-805000,6689204.14285714,NA,8.86310518329475,1.642787453957,0.0259519507568899
"242",-715000,6689204.14285714,NA,9.16725213435826,1.64352782361509,0.0260337827706791
"243",-625000,6689204.14285714,NA,9.52235002030336,1.64317243771798,0.0349846886871924
"244",-535000,6689204.14285714,NA,9.85200445634586,1.69015900356329,0.0304589139578402
"245",-445000,6689204.14285714,NA,10.3235235027693,1.69308923284253,0.0818887971658414
