"","x","y","land_perc","temp","phyto","velo","diversity","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right"
"183",-1975000,6836621.57142857,0,278.634591478836,2.76329962952002,16.4467495189036,0.22,1,1,1,1,1,1,1,1,1
"184",-1885000,6836621.57142857,0,280.354318497876,2.00360101587114,2.66266976380264,0.22,1,1,1,1,1,1,1,1,1
"185",-1795000,6836621.57142857,0,280.688203617099,1.80203082741697,3.66066848571409,0.18,1,1,1,1,1,1,1,1,1
"186",-1705000,6836621.57142857,0,280.628107648567,1.70672197338734,4.47077124984292,0.28,1,1,1,1,1,1,1,1,1
"187",-1615000,6836621.57142857,0,280.488413685915,1.64645346311367,3.49582188140812,0.26,1,1,1,1,1,1,1,1,1
"188",-1525000,6836621.57142857,0,280.277352393232,1.61035557750411,3.89476312517792,0.22,1,1,1,1,1,1,1,1,1
"189",-1435000,6836621.57142857,0,280.059703288368,1.59884971997038,2.33896771181573,0.32,1,1,1,1,1,1,1,1,1
"190",-1345000,6836621.57142857,0,280.076311370437,1.5793911222469,2.21393420531529,0.3,1,1,1,1,1,1,1,1,1
"191",-1255000,6836621.57142857,0,280.255451135973,1.58849969882665,2.22197003139567,0.32,1,1,1,1,1,1,1,1,1
"192",-1165000,6836621.57142857,0,280.633576398379,1.61871766038008,2.17966985257426,0.2,1,1,1,1,1,1,1,1,1
"193",-1075000,6836621.57142857,0,280.982061619048,1.63719275441509,2.55003875079275,0.18,1,1,1,1,1,1,1,1,1
"194",-985000,6836621.57142857,0,281.297098644416,1.6371801927436,3.51425024843572,0.1,1,1,1,1,1,1,1,1,1
"195",-895000,6836621.57142857,0,281.60483307501,1.610237084656,1.83015450396054,0.16,1,1,1,1,1,1,1,1,1
"196",-805000,6836621.57142857,0,281.894427806919,1.57613451519776,2.27407826495615,0.24,1,1,1,1,1,1,1,1,1
"197",-715000,6836621.57142857,0,282.141678081531,1.52504920682067,3.11439836128084,0.18,1,1,1,1,1,1,1,1,1
"198",-625000,6836621.57142857,0,282.467357426248,1.49957196808432,4.99627566787431,0.2,1,1,1,1,1,1,1,1,1
"199",-535000,6836621.57142857,0,282.806563488205,1.54480156283363,3.88862484572646,0.16,1,1,1,1,1,1,1,1,1
"200",-445000,6836621.57142857,0,283.166842317934,1.5655390796811,2.34626387977647,0.28,1,1,1,1,1,1,1,1,1
